source,target,name
CWE-83,CWE-82,ParentOf
CWE-96,CWE-97,ParentOf
CWE-451,CWE-1007,ParentOf
CWE-573,CWE-103,ParentOf
CWE-573,CWE-104,ParentOf
CWE-573,CWE-253,ParentOf
CWE-573,CWE-325,ParentOf
CWE-573,CWE-358,ParentOf
CWE-573,CWE-475,ParentOf
CWE-573,CWE-577,ParentOf
CWE-573,CWE-578,ParentOf
CWE-573,CWE-579,ParentOf
CWE-573,CWE-581,ParentOf
CWE-573,CWE-628,ParentOf
CWE-573,CWE-675,ParentOf
CWE-573,CWE-695,ParentOf
CWE-710,CWE-1041,ParentOf
CWE-710,CWE-1044,ParentOf
CWE-710,CWE-1048,ParentOf
CWE-710,CWE-1059,ParentOf
CWE-710,CWE-1061,ParentOf
CWE-710,CWE-1065,ParentOf
CWE-710,CWE-1066,ParentOf
CWE-710,CWE-1068,ParentOf
CWE-710,CWE-1076,ParentOf
CWE-710,CWE-1092,ParentOf
CWE-710,CWE-1093,ParentOf
CWE-710,CWE-1101,ParentOf
CWE-710,CWE-1120,ParentOf
CWE-710,CWE-1126,ParentOf
CWE-710,CWE-1127,ParentOf
CWE-710,CWE-1164,ParentOf
CWE-710,CWE-1177,ParentOf
CWE-710,CWE-1209,ParentOf
CWE-710,CWE-1357,ParentOf
CWE-710,CWE-476,ParentOf
CWE-710,CWE-477,ParentOf
CWE-710,CWE-484,ParentOf
CWE-710,CWE-489,ParentOf
CWE-710,CWE-570,ParentOf
CWE-710,CWE-571,ParentOf
CWE-710,CWE-573,ParentOf
CWE-710,CWE-657,ParentOf
CWE-710,CWE-684,ParentOf
CWE-710,CWE-758,ParentOf
CWE-1093,CWE-1043,ParentOf
CWE-1093,CWE-1055,ParentOf
CWE-1093,CWE-1074,ParentOf
CWE-1093,CWE-1086,ParentOf
CWE-1076,CWE-1045,ParentOf
CWE-1076,CWE-1070,ParentOf
CWE-1076,CWE-1078,ParentOf
CWE-1076,CWE-1079,ParentOf
CWE-1076,CWE-1082,ParentOf
CWE-1076,CWE-1087,ParentOf
CWE-1076,CWE-1097,ParentOf
CWE-1076,CWE-1098,ParentOf
CWE-1076,CWE-1108,ParentOf
CWE-1076,CWE-586,ParentOf
CWE-1076,CWE-594,ParentOf
CWE-1120,CWE-1047,ParentOf
CWE-1120,CWE-1056,ParentOf
CWE-1120,CWE-1060,ParentOf
CWE-1120,CWE-1064,ParentOf
CWE-1120,CWE-1075,ParentOf
CWE-1120,CWE-1080,ParentOf
CWE-1120,CWE-1095,ParentOf
CWE-1120,CWE-1119,ParentOf
CWE-1120,CWE-1121,ParentOf
CWE-1120,CWE-1122,ParentOf
CWE-1120,CWE-1123,ParentOf
CWE-1120,CWE-1124,ParentOf
CWE-1120,CWE-1125,ParentOf
CWE-1059,CWE-1053,ParentOf
CWE-1059,CWE-1110,ParentOf
CWE-1059,CWE-1111,ParentOf
CWE-1059,CWE-1112,ParentOf
CWE-1059,CWE-1118,ParentOf
CWE-1061,CWE-1054,ParentOf
CWE-1061,CWE-1057,ParentOf
CWE-1061,CWE-1062,ParentOf
CWE-1061,CWE-1083,ParentOf
CWE-1061,CWE-1090,ParentOf
CWE-1061,CWE-1100,ParentOf
CWE-1071,CWE-1069,ParentOf
CWE-1071,CWE-585,ParentOf
CWE-1164,CWE-107,ParentOf
CWE-1164,CWE-1071,ParentOf
CWE-1164,CWE-110,ParentOf
CWE-1164,CWE-561,ParentOf
CWE-1164,CWE-563,ParentOf
CWE-1078,CWE-1085,ParentOf
CWE-1078,CWE-1099,ParentOf
CWE-1078,CWE-1106,ParentOf
CWE-1078,CWE-1107,ParentOf
CWE-1078,CWE-1109,ParentOf
CWE-1078,CWE-1113,ParentOf
CWE-1078,CWE-1114,ParentOf
CWE-1078,CWE-1115,ParentOf
CWE-1078,CWE-1116,ParentOf
CWE-1078,CWE-1117,ParentOf
CWE-1078,CWE-546,ParentOf
CWE-1078,CWE-547,ParentOf
CWE-489,CWE-11,ParentOf
CWE-758,CWE-1102,ParentOf
CWE-758,CWE-1103,ParentOf
CWE-758,CWE-1105,ParentOf
CWE-758,CWE-474,ParentOf
CWE-758,CWE-562,ParentOf
CWE-758,CWE-587,ParentOf
CWE-1357,CWE-1104,ParentOf
CWE-1357,CWE-1329,ParentOf
CWE-1105,CWE-188,ParentOf
CWE-695,CWE-111,ParentOf
CWE-695,CWE-245,ParentOf
CWE-695,CWE-246,ParentOf
CWE-695,CWE-383,ParentOf
CWE-695,CWE-575,ParentOf
CWE-695,CWE-576,ParentOf
CWE-1177,CWE-242,ParentOf
CWE-1177,CWE-676,ParentOf
CWE-653,CWE-1189,ParentOf
CWE-653,CWE-1331,ParentOf
CWE-1189,CWE-1303,ParentOf
CWE-657,CWE-1192,ParentOf
CWE-657,CWE-1395,ParentOf
CWE-657,CWE-636,ParentOf
CWE-657,CWE-637,ParentOf
CWE-657,CWE-638,ParentOf
CWE-657,CWE-653,ParentOf
CWE-657,CWE-654,ParentOf
CWE-657,CWE-655,ParentOf
CWE-657,CWE-656,ParentOf
CWE-657,CWE-671,ParentOf
CWE-684,CWE-1245,ParentOf
CWE-684,CWE-393,ParentOf
CWE-684,CWE-440,ParentOf
CWE-684,CWE-446,ParentOf
CWE-684,CWE-451,ParentOf
CWE-684,CWE-912,ParentOf
CWE-1329,CWE-1277,ParentOf
CWE-1329,CWE-1310,ParentOf
CWE-675,CWE-1341,ParentOf
CWE-675,CWE-174,ParentOf
CWE-675,CWE-605,ParentOf
CWE-188,CWE-198,ParentOf
CWE-638,CWE-424,ParentOf
CWE-446,CWE-448,ParentOf
CWE-446,CWE-449,ParentOf
CWE-671,CWE-447,ParentOf
CWE-474,CWE-589,ParentOf
CWE-912,CWE-506,ParentOf
CWE-506,CWE-507,ParentOf
CWE-506,CWE-510,ParentOf
CWE-506,CWE-511,ParentOf
CWE-506,CWE-512,ParentOf
CWE-507,CWE-508,ParentOf
CWE-507,CWE-509,ParentOf
CWE-687,CWE-560,ParentOf
CWE-628,CWE-683,ParentOf
CWE-628,CWE-685,ParentOf
CWE-628,CWE-686,ParentOf
CWE-628,CWE-687,ParentOf
CWE-628,CWE-688,ParentOf
CWE-676,CWE-785,ParentOf
